Воскресенье,1,Августа,8,55,83.53125
Понедельник,2,Августа,6,55,61.6275
Среда,4,Августа,8,0,71.28
Четверг,5,Августа,7,40,68.31
Пятница,6,Августа,4,40,41.58
Суббота,7,Августа,8,0,71.28
Воскресенье,8,Августа,6,50,60.885
Понедельник,9,Августа,8,20,75.735
Вторник,10,Августа,7,40,68.31
Среда,11,Августа,5,45,51.232499999999995
Пятница,13,Августа,7,40,68.31
Суббота,14,Августа,7,55,70.5375
Воскресенье,15,Августа,5,10,46.035
Понедельник,16,Августа,7,25,66.0825
Вторинк,17,Августа,8,0,71.28
Четверг,19,Августа,8,0,71.28
Пятница,20,Августа,7,55,70.5375
Суббота,21,Августа,8,0,71.28
Восткресенье,22,Августа,8,0,71.28
Понедельник,23,Августа,8,0,71.28
Вторник,24,Августа,8,0,71.28
Среда,25,Августа,8,0,71.28
Четверг,26,Августа,8,0,71.28
Пятница,27,Августа,6,5,54.2025
Суббота,28,Августа,6,50,60.885
Понедельник,30,Августа,8,0,71.28
Вторник,31,Августа,7,45,69.0525
Среда,1,Сентября,5,0,44.55
Четверг,2,Сентября,8,0,71.28
Пятница,3,Сентября,7,30,66.825
Суббота,4,Сентября,5,20,47.519999999999996
Понедельник,6,Сентября,8,20,75.735
Вторник,7,Сентября,8,30,77.9625
Среда,8,Сентября,8,30,77.9625
Четверг,9,Сентября,7,20,65.34
Пятница,10,Сентября,9,0,84.645
Суббота,11,Сентября,5,15,46.777499999999996
Понедельник,13,Сентября,7,45,69.0525
